location_id,project_id,classification,technology,upload_speed_anticipated,download_speed_anticipated,low_latency
1077412005,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077412007,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077412010,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077412011,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077412015,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077412016,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077412018,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077412021,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077412022,CM61-BEAD-LA-136-3004,1,50,50,200,1
1077412023,CM61-BEAD-LA-136-3004,1,50,50,200,1
1077412024,CM61-BEAD-LA-136-3004,1,50,50,200,1
1077412025,CM61-BEAD-LA-136-3004,1,50,50,200,1
1077412026,CM61-BEAD-LA-136-3004,1,50,50,200,1
1077412027,CM61-BEAD-LA-136-3004,1,50,50,200,1
1077412028,CM61-BEAD-LA-136-3004,1,50,50,200,1
1077412029,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077412030,CM61-BEAD-LA-136-3004,1,50,50,200,1
1077412031,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077412034,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077412035,CM61-BEAD-LA-136-3004,1,50,50,200,1
1077412036,CM61-BEAD-LA-136-3004,1,50,50,200,1
1077412037,CM61-BEAD-LA-136-3004,1,50,50,200,1
1077412038,CM61-BEAD-LA-136-3004,1,50,50,200,1
1077412039,CM61-BEAD-LA-136-3004,1,50,50,200,1
1077412040,CM61-BEAD-LA-136-3004,1,50,50,200,1
1077412041,CM61-BEAD-LA-136-3004,1,50,50,200,1
1077412044,CM61-BEAD-LA-136-3004,1,50,50,200,1
1077412045,CM61-BEAD-LA-136-3004,1,50,50,200,1
1077412093,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077412095,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077412168,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077412169,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077412333,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077412334,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077412335,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077412336,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077412337,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077412340,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077412341,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077412342,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077412343,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077412348,CM61-BEAD-LA-136-3004,0,50,50,200,1
